; Type: Shadowlands Raid

; -------------------------------------
;    Zone: Castle Nathria
; -------------------------------------

; Boss: Trash
343322	Malédiction de Moldovaak
365872	Signal d’espoir
365958	Abattement

; Boss: Lords of Dread
360374	Essaim ravageur
360319	Dans les ténèbres
360012	Nuée de charognards
361913	Manifestation d’ombres
361934	Forme incomplète
359960	Griffes sangsues
359963	Veines ouvertes
360717	Infiltration d’effroi
360146	Appréhension effroyable
360229	Nuage léthargique
360284	Frappe angoissante

; Boss: Rygelon
362806	Sombre éclipse
362275	Effondrement céleste
362206	Horizon des évènements
362390	Cosmos manifeste
362184	Frappes corrompues
362172	Blessure corrompue
363533	Fracas retentissant
364386	Effondrement gravitationnel
366606	Plasma radieux
362207	Singularité
364114	Fracasse-sphère
362088	Irrégularité cosmique
366379	Suaire stellaire
362798	Radiation cosmique
368080	Quasar sombre

; Boss: The Jailer
362028	Domination implacable
362075	Domination
366132	Tyrannie
359809	Chaînes d’oppression
363893	Martyre
366545	Persécution
365436	Tourment
360281	Rune de damnation
360373	Harmonisation impie
363332	Poigne inébranlable
359856	Explosion destructrice
366285	Rune de contrainte
360562	Décimateur
365033	Désolation
365150	Rune de domination
365212	Chaînes d’angoisse
365169	Profanation
362012	Fin de l’éternité
366377	Broyeur de mondes
366776	Fendeur de mondes
367053	Disloqueur de mondes
365810	Éboulement de débris
